issue_key,validation_run_id,project_id,model_key,element_key,grouping_policy,group_ref,lifecycle_state,assignee_role,priority,stage,due,labels,is_overdue
086310f3-fe0d-5e5c-b339-d0666056b9f2,epc-delivery-v2.2-71d28a7c8bddb4e7,pcert-sample,architecture,architecture::1AQAupaRP1txwK1AGiN61V,element,architecture::1AQAupaRP1txwK1AGiN61V,Open,information-manager,,Handover,2026-12-01T00:00:00Z,Architecture;Structural,false
16f49ead-655f-5d1a-8ef3-18b8deccde53,epc-delivery-v2.2-71d28a7c8bddb4e7,iso-reference-view,iso-reference-view.architecture,iso-reference-view.architecture::3ZYW59sxj8lei475l7EhLU,element,iso-reference-view.architecture::3ZYW59sxj8lei475l7EhLU,Open,information-manager,,Handover,2026-12-01T00:00:00Z,Architecture;Structural,false
1e763220-efb1-5b77-8232-5c3394ae25c9,epc-delivery-v2.2-71d28a7c8bddb4e7,pcert-sample,structural,structural::2gTJhghMT81QThk15l2VwR,element,structural::2gTJhghMT81QThk15l2VwR,Open,information-manager,,Handover,2026-12-01T00:00:00Z,Architecture;Structural,false
39a3acd0-c626-5920-ab55-a49e40b4659b,epc-delivery-v2.2-71d28a7c8bddb4e7,pcert-sample,structural,structural::3SGBcf7Lv0r80vKtUCgOpf,element,structural::3SGBcf7Lv0r80vKtUCgOpf,Open,information-manager,,Handover,2026-12-01T00:00:00Z,Architecture;Structural,false
4461773b-4107-5a22-9c10-c9734cff0ecc,epc-delivery-v2.2-71d28a7c8bddb4e7,pcert-sample,hvac,hvac::38WbwIGD90nB_3T2BTU5Ed,element,hvac::38WbwIGD90nB_3T2BTU5Ed,Open,model-coordination,Medium,Coordination,2026-08-01T00:00:00Z,HVAC;IDS;ProjectAssumption,true
47b334ff-df73-507d-aa91-198dbf834922,epc-delivery-v2.2-71d28a7c8bddb4e7,iso-reference-view,iso-reference-view.architecture,,element,iso-reference-view.architecture,Open,model-coordination,,Coordination,2026-08-01T00:00:00Z,Architecture;Structural;HVAC;Plumbing,true
4fc21743-6628-50fc-b893-2ee514856fb5,epc-delivery-v2.2-71d28a7c8bddb4e7,pcert-sample,structural,structural::2fjJuPht9EIQaZQYZfC1Op,element,structural::2fjJuPht9EIQaZQYZfC1Op,Open,structural-lead,,Design,2026-07-01T00:00:00Z,Structural,true
657cff73-e688-55aa-bef8-685211247da8,epc-delivery-v2.2-71d28a7c8bddb4e7,pcert-sample,structural,structural::0DyViLJJ175RvWQi1rE7a6,element,structural::0DyViLJJ175RvWQi1rE7a6,Open,information-manager,,Handover,2026-12-01T00:00:00Z,Architecture;Structural,false
77ef00d0-8063-5234-a9c7-db86d75f71a6,epc-delivery-v2.2-71d28a7c8bddb4e7,iso-reference-view,iso-reference-view.structural,,element,iso-reference-view.structural,Open,model-coordination,,Coordination,2026-08-01T00:00:00Z,Architecture;Structural;HVAC;Plumbing,true
7816750f-6f93-5129-aada-a590fbc194bd,epc-delivery-v2.2-71d28a7c8bddb4e7,pcert-sample,architecture,architecture::1uS5vfZPn9R8PlAaVd73on,element,architecture::1uS5vfZPn9R8PlAaVd73on,Open,information-manager,,Handover,2026-12-01T00:00:00Z,Architecture;Structural,false
