run_id,model_id,element_key,global_id,ids_version,specification,requirement,status,severity,ifc_class,element_name,expected,actual,reason
ids-v0.1-8706ef58303bfd11,architecture,architecture::0OfZwWc8j9QP5uX8xPTxDH,0OfZwWc8j9QP5uX8xPTxDH,0.1,R-001: Walls must have a name,Name,PASS,INFO,IfcWall,house - outer wall - house left,The Name shall be provided,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,architecture,architecture::1AQAupaRP1txwK1AGiN61V,1AQAupaRP1txwK1AGiN61V,0.1,R-001: Walls must have a name,Name,PASS,INFO,IfcWall,house - outer wall - house right front,The Name shall be provided,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,architecture,architecture::1uS5vfZPn9R8PlAaVd73on,1uS5vfZPn9R8PlAaVd73on,0.1,R-001: Walls must have a name,Name,PASS,INFO,IfcWall,plumbing wall,The Name shall be provided,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,architecture,architecture::3wdauVJT5Fx9drrREiDqA$,3wdauVJT5Fx9drrREiDqA$,0.1,R-001: Walls must have a name,Name,PASS,INFO,IfcWall,house - outer wall - house right back,The Name shall be provided,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,architecture,architecture::0OfZwWc8j9QP5uX8xPTxDH,0OfZwWc8j9QP5uX8xPTxDH,0.1,R-002: Walls must declare IsExternal,Pset_WallCommon.IsExternal,PASS,INFO,IfcWall,house - outer wall - house left,IsExternal data shall be provided in the dataset Pset_WallCommon,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,architecture,architecture::1AQAupaRP1txwK1AGiN61V,1AQAupaRP1txwK1AGiN61V,0.1,R-002: Walls must declare IsExternal,Pset_WallCommon.IsExternal,PASS,INFO,IfcWall,house - outer wall - house right front,IsExternal data shall be provided in the dataset Pset_WallCommon,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,architecture,architecture::1uS5vfZPn9R8PlAaVd73on,1uS5vfZPn9R8PlAaVd73on,0.1,R-002: Walls must declare IsExternal,Pset_WallCommon.IsExternal,PASS,INFO,IfcWall,plumbing wall,IsExternal data shall be provided in the dataset Pset_WallCommon,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,architecture,architecture::3wdauVJT5Fx9drrREiDqA$,3wdauVJT5Fx9drrREiDqA$,0.1,R-002: Walls must declare IsExternal,Pset_WallCommon.IsExternal,PASS,INFO,IfcWall,house - outer wall - house right back,IsExternal data shall be provided in the dataset Pset_WallCommon,,Requirement satisfied.
ids-v0.1-8706ef58303bfd11,architecture,,,0.1,R-003: Beams must declare LoadBearing,Pset_BeamCommon.LoadBearing,N/A,INFO,,,LoadBearing data shall be provided in the dataset Pset_BeamCommon,,No applicable elements exist in this model.
ids-v0.1-8706ef58303bfd11,architecture,,,0.1,R-004A: Duct segments need spatial assignment,IFCRELCONTAINEDINSPATIALSTRUCTURE,N/A,INFO,,,"An element must have an IFCRELCONTAINEDINSPATIALSTRUCTURE relationship with an {'enumeration': ['IFCSPACE', 'IFCBUILDINGSTOREY']}",,No applicable elements exist in this model.
